Name, Description, LockedDescription
"Kai Wegner","The leader of the CDU in Berlin is a supporter of yours and offered help with getting you nominated as chancellor candidate",""
"Markus Blume","As general secretary of the CSU, he's helping drive CSU turnout in Bavaria.",""
"Markus Ferber","As head of Hanns Seidel Foundation, Ferber can help you get access to more accurate polls through the foundation.","null"
"Sebastian Brehm","Brehm is the CSU's expert on fiscal policy in the Bundestag and eager to advise you on all things concerning the economy.",""
"Joseph Göppel","Also know as the 'green conscience of the CDU/CSU', he's happy to advise you on environmental questions.","null"
"Melanie Huml","As the incumbent Minister of Health in Bavaria, she can advice you on all questions surrounding that topic and COVID.",""
"Armin Laschet","Laschet will turn out the CDU in his homestate of North Rhine-Westphalia and campaign with you all over Germany.","The Minister-President and party leader of the CDU also has ambitions to become chancellor - don't fight too dirty if you want him onboard."
"Paul Ziemiak","Coordinating closer with Ziemiak will help benefit you nationwide and be helpful if he's campaigning for you somewhere.","The general secretary of the CDU wants to see a fair nomination process."
"Rita Süssmuth","During her long and storied career, Süssmuth made connections across the political spectrum. SHe'D be an asset in coalition talks with more leftwing parties.","This CDU politician has advocated for a more liberal abortion law for a long time - agree with her to recruit her."
"Horst Seehofer","Seehofer is popular in Bavaria and has some advice on how to deal with social topics.","The current minister of the Interior and former CSU leader is known for his hardline stance on refugees and generally conservative outlook."
"Daniel Günther","As he leads a Jamaica Coalition himself, Günther can help when talking to the Greens and FDP - as well as campaign in Schleswig-Holstein","This CDU Minister-President from Schleswig-Holstein wants you to push the party in a more modern direction."
"Reiner Haseloff","Haseloff's popularity will not only help you in Saxony-Anhalt, his home state, but all of East Germany.","A very popular East German Minister-President - maybe you can convince him to work for you when you visit him?"
"Tilman Kuban","Kuban wants to advise you on digitalization and mobilise the JU to help you nationwide.","The chairman of the CDU/CSU youth organization JU would like you to involve the JU in your campaign."
"Friedrich Merz","Whether you need economic advice or help targetting FDP and AfD voters, Merz is your man.","One of the leading voices of the conservative wing - to get him, show that you share his outlook."
"Hans-Georg Maaßen","Hiring Maaßen would show the AfD you're serious about working with them, but be controversial with almost everyone else.","This very controversial former head of the Federal Office for the Protection of the Constitution advocates for cooperation between the CDU and AfD."
"Gerd Müller","The current Minister for for Economic Cooperation and Development is a principled man - hiring him could help with your image.","To recruit the current Minister for for Economic Cooperation and Development, soften your position on refugees."
"Edmund Stoiber","Bavarians will love to see you campaign with Stoiber, and he has some tips about avoiding to be seen as opportunistic as well.","This legendary CSU politician and former chancellor candidate wnats you to keep the CSU strong despite running a national campaign."
"Angela Merkel","While Merkel doesn't have a lot of time to campaign, her popularity will still help you nationwide. She also has some advice on foreign policy.","To get the current chancellor herself to help you, defend her legacy and have the CDU elites endorse your candidacy."
